Data_Hora;LBA10CP001;LBA10CP951A;LBA10CF001A;LBA10CF001B;LAB60CT002;LAB60CT003;LBA10CF901;JEA10CL901;LAB60CF901;LAB60CF001A;LAB60CF001B
27/07/2022 10:00;67.41019;67.5372;434.04187;435.1312;210.36981;210.64532;427.2932854;12.23015;1.107676944;1.50728;0.68218
27/07/2022 10:06;67.2366;67.3559;438.2764;439.23474;210.36981;210.68802;430.7380422;12.22144;1.686064752;1.61123;1.72164
27/07/2022 10:12;67.73998;67.86096;436.93375;438.09198;210.32701;210.64532;431.3736637;12.23077;1.633761474;1.61123;1.61816
27/07/2022 10:18;67.70527;67.82211;436.57227;437.57254;210.49821;210.81606;430.8039372;12.21771;1.446883012;1.55925;1.30101
27/07/2022 10:24;67.53168;67.62785;434.40338;435.1312;210.4126;210.77338;427.858693;12.22891;1.920198199;1.55925;2.23664
27/07/2022 10:30;67.41019;67.5372;436.41736;437.5206;210.36981;210.64532;429.6357502;12.21833;1.267669207;1.50728;0.99846
27/07/2022 10:36;67.80074;67.91277;436.31406;437.67645;210.36981;210.68802;431.0705541;12.21895;1.721236251;1.50728;1.89514
27/07/2022 10:42;67.14981;67.26524;435.43616;437.05313;210.36981;210.68802;427.9481344;12.22891;1.42556036;1.61123;1.20665
27/07/2022 10:48;67.73131;67.83507;436.00424;437.05313;210.32701;210.64532;430.3396824;12.19843;1.513646156;1.4553;1.53667
27/07/2022 10:54;67.32339;67.4336;434.24841;435.23508;210.32701;210.64532;427.0979366;12.23886;1.630018422;1.4553;1.76672
27/07/2022 11:00;67.50565;67.61491;435.53943;436.84534;210.36981;210.64532;429.1898036;12.20589;1.999399849;1.55925;2.393
27/07/2022 11:06;67.78338;67.89982;435.90094;437.05313;210.36981;210.68802;430.50359;12.22269;1.115068599;1.55925;0.64483
27/07/2022 11:12;67.09773;67.26524;436.6239;437.67645;210.36981;210.64532;428.7409034;12.22082;1.577415963;1.4553;1.66277
27/07/2022 11:18;67.68791;67.82211;435.95261;437.67645;210.32701;210.64532;430.5180829;12.23762;2.01574882;1.61123;2.37329
27/07/2022 11:24;67.6532;67.74441;436.88211;438.2478;210.4126;210.7307;431.0503676;12.24321;1.358319547;1.61123;1.07379
27/07/2022 11:30;67.19321;67.29115;435.79767;437.10507;210.32701;210.60265;428.2777832;12.23637;1.954220737;1.55925;2.30359
27/07/2022 11:36;68.08715;68.19768;436.77884;437.88422;210.32701;210.68802;432.455694;12.21833;1.574394033;1.50728;1.60481
27/07/2022 11:42;67.28;67.4077;434.30005;435.28702;210.36981;210.68802;427.0222948;12.21584;1.805059495;1.55925;2.00887
