Data_Hora,LBA10CP001,LBA10CP951A,LBA10CF001A,LBA10CF001B,LAB60CT002,LAB60CT003,LBA10CF901,JEA10CL901,LAB60CF901,LAB60CF001A
26/09/2018 00:16,66.24719,66.66951,534.69,535.59003,217.64534,217.92293,0,12.21709,520.94611,520.94611
26/09/2018 00:16,66.23851,66.64362,535.98102,536.42114,217.66675,217.92293,0,12.23015,526.4035,526.4035
26/09/2018 00:16,66.25587,66.64362,537.01385,537.51196,217.64534,217.96564,0,12.22704,520.84216,520.84216
26/09/2018 00:17,66.27323,66.64362,535.92938,536.78479,217.64534,217.96564,0,12.21771,513.77356,513.77356
26/09/2018 00:17,66.33398,66.65656,535.72284,536.47308,217.66675,217.96564,0,12.22517,525.98767,525.98767
26/09/2018 00:17,66.29059,66.66951,537.37531,538.2392,217.64534,217.96564,0,12.22517,529.67792,529.67792
26/09/2018 00:17,66.29059,66.68246,537.63354,538.08337,217.68814,218.00832,0,12.22269,523.85675,523.85675
26/09/2018 00:17,66.29059,66.66951,534.22522,535.69397,217.68814,217.96564,0,12.21709,526.87128,526.87128
26/09/2018 00:17,66.26455,66.69541,536.13599,536.94061,217.70953,217.96564,0,12.22144,521.258,521.258
26/09/2018 00:18,66.29059,66.66951,536.75562,537.25226,217.70953,218.00832,0,12.22082,522.76526,522.76526
26/09/2018 00:18,66.27323,66.68246,537.63354,537.97949,217.68814,217.96564,0,12.21522,516.73608,516.73608
26/09/2018 00:18,66.30795,66.64362,537.42694,537.77167,217.70953,217.96564,0,12.21522,520.42633,520.42633
26/09/2018 00:18,66.29926,66.69541,536.08429,536.83673,217.68814,217.96564,0,12.2146,521.62177,521.62177
26/09/2018 00:18,66.27323,66.65656,538.30487,538.86249,217.70953,217.96564,0,12.2146,522.76526,522.76526
26/09/2018 00:18,66.38605,66.70837,537.11713,537.35614,217.68814,217.96564,0,12.21149,521.72571,521.72571
26/09/2018 00:19,66.31662,66.63066,534.94824,535.79785,217.64534,217.96564,0,12.20154,524.7403,524.7403
26/09/2018 00:19,66.34266,66.64362,537.47858,538.03143,217.64534,217.92293,0,12.20713,524.37646,524.37646
26/09/2018 00:19,66.34266,66.69541,537.58191,538.18726,217.64534,217.92293,0,12.20713,520.68622,520.68622
26/09/2018 00:19,66.33398,66.69541,536.39417,536.94061,217.64534,217.92293,0,12.209,527.65088,527.65088
26/09/2018 00:19,66.26455,66.66951,535.4646,536.31726,217.64534,217.92293,0,12.21087,524.42847,524.42847
26/09/2018 00:19,66.33398,66.70837,538.35651,538.75861,217.64534,217.92293,0,12.21584,521.20599,521.20599
26/09/2018 00:20,66.29926,66.64362,538.66632,538.96637,217.64534,217.92293,0,12.21024,520.47833,520.47833
26/09/2018 00:20,66.3253,66.66951,536.96222,537.25226,217.64534,217.92293,0,12.21709,527.54694,527.54694
26/09/2018 00:20,66.34266,66.68246,537.16876,537.35614,217.64534,217.96564,0,12.22082,521.82965,521.82965
26/09/2018 00:20,66.26455,66.59181,536.65234,537.51196,217.64534,217.96564,0,12.2258,527.02722,527.02722
26/09/2018 00:20,66.25587,66.65656,535.25806,535.74591,217.64534,217.92293,0,12.22393,523.44092,523.44092
